960863589476126723	sperm	Sperm Whaleなのにマ○コウクジラとはこれ如何に
961191409289117696	shit	@nekosama0825 裏山shit!!
961190789232541696	shit	いくつにも重ねた細胞 それを響かせこの手は やっと君に触れるよ ♪Words/SHIT HAPPENING
961188658190598145	shit	Shit…！瞼が言う事を聞きゃしねぇ…っ、こんな所で眠っちまう訳にはいかねぇってのに。人間、徹夜は３日が限界かよ…って俺人間じゃねぇけどな。
961188425884815360	shit	@PSN4L これはHoly shitですね。聖なる糞
961188330321846272	shit	嫉妬心がついに限界を突破し、小沢真珠の幻が見え始める。　旧都　SHIT
961188299917283333	shit	@hage_2013 確かにね、英語のうんこはとても面白いですね！例えばno shitは「マジ で？？／当たり前だろ」のことです😂😂😂
961188049248907269	shit	だいぶ前に出したイラスト集のタイトルがstressだったけど、次のタイトルはshit- boxにしようか(ひどい)
961188018068406274	shit	@yoshisyosama Oh…shit 情報あざす🙇
961185821293359104	shit	Can you オフパコ？ No! I can’t オフパコ！ Wahaha you shit クソザコ! WTF you オメガ! クサイクサイ! スケベシヨヤ??OMG you 脳梅毒！ Fuck uuuuuuuuuu!!!!
961182345435860993	shit	CAT SHIT ONE可愛い大好きボタスキー！RT
961181517723590658	shit	不条理な現実の連鎖 Feels like I'll never escape the spiral I'm so sick, of deceit, all this shit, I've had it (DRIVEN)
961181380695617536	shit	ああー！！！！！動画編集しとぉ途中でアプリエラーで落ちて編集途中の消えたたぁぁぁあー！！Oh!!!shit!!
961180461954289664	shit	"♪ 命捨てます 怖くない 街の平和をSIT（エスアイティー） SIT OH SHIT！
961179140136214528	shit	@robusto_k まーじ驚くほどshitでした。あの臭さ🙄🖕🏾
961178667018723328	shit	「shoot!」＝「しまったぁ」shit!は下品で嫌う人が多いけど、shootはよりマイルド。日本ではshit!の方が有名（？）なのかしら。shoot!の方がよく使います。
961177821354737665	shit	TOEIC「英検オワコンwww時代はTOEICだしwww」 ﾁｬｰﾗｰﾗｰ TOEIC「んっ！？なんだこの音楽はっ！！」 ﾀｰﾗﾗｰﾗﾗﾗﾗｰ 英検マン「Shit! 俺達はいつでも」 英会羽「日本で一番だった」 イングリス「10年前なら負け知らず」
961176929838641153	shit	shit!まだ半月しか経ってないのに通信制限が来やがったぜ
961176589949050880	shit	絵ぇ描きながら口の中で「shit!」ッて何度も吐き捨ててる
961175940611981313	shit	ちなみにshitはうんこって意味だってさ
961174577475809280	shit	@frost_fish2183 おぉんHoly shit！！
961174223786983425	shit	"oh shit" (和訳) クソ食らえ RADWIMPS なんちって
961174011362230274	shit	不老不死は不LOW不SHIT。立ち止まらず、モチベーションをさげない。
961154133649588224	crap	CRAP THE CLIP 4が大好きだ。 帰ったら観よう。
960512646075183112	butt	ガムボール：まずはおしりが痒い犬みたいに歩くんだ。 i want you to walk like a dog with an itchy butt.
960419454281633793	butt	@shofitness 恐らく話題に上がってるButt winkは、起こしたくなくても起きてしまうButt winkの方の気がしますね、、骨格の問題でそれがおきてしまうけど、果たしてそれはいいのか！？みたいな、、
960417691403108352	butt	やめて！片っ端からお尻の穴にヤスリを入れてくのやめて！ stop! Stop putting the file in the hole of the butt from one end!
960365618816937984	butt	--(and in turn, Albion) the Butt Dragon Emperor (ケツ龍皇 Ketsuryūkō)
960360750819651584	butt	@KayamahMusic ギターの人スティーブヴァイからかなり影響受けてそうなので多彩なギターフレーズが楽しめるバンドですよ 個人的にはbutt's trip barがおすすめです
960326192871096321	butt	Butt Bombの爆弾爆発時のガス攻撃は、Afterbirthではうんち系のボスを回復させてしまう。 Dr. FetusやEpic Fetusを取得した状態で、Butt Bombを拾った時は特に注意しよう。
960304162482335749	butt	英語：I love your butt. 日本語訳：君のおしりが大好きだ。 #英会話 #adult
960467234698149889	nazi	よく「那智」ってナチスの「ナチ」と間違えられないかみたいな話を目にするが、アルファベット表記すれば「nachi」と「nazi」と発音も違うので、日本以外では間違えられることはないのではないだろうか？
960447249762238465	nazi	なんでや！nazi 関係ないやろ！ ≫RT
960425258749587457	nazi	@fukushimanohito Nazi はﾅｰﾂｨ　と発音するので那智さんとは全然違う音。ちなみにGoogle翻訳で音を確認しました。 ちなみに那智さんは、nachi ナヒさんみたいに発音されるかも。
960375612081778688	nazi	２【続き】『ヒストリー』ＰＶの比較映像 Triumph of the Will & History　　Nazi films & Micheal Jackson ヒトラーに共感を示したデヴィッド・ボウイがかつて冷遇されていたことにココで触れましたが、【続く】
960256459434053632	nazi	@lucasalario13 Alto nazi 卍
959359911007158272	moron	やたらと発砲したがるバカは、もう要らないのよ The last thing I need is another trigger-happy moron. 「アバター」より
959291080855310337	moron	壁を貫ぬいて ここから目指すあの先これからだぜ あきらめたら終わりさ 道はひらくのさ すこしの努力でもいいさ 未来に繋がるから 決して振り向くな 過去の自分にうち勝ってみろよ 3poLstar☆☆☆/Moron
959163497320923136	moron	But the one chronic problem is the uninhibited ruler; "Pure" to put it nicely, to put it badly... A MORON. しんでしまうとはなさけない！／じーざすPfeat.鏡音リン・レン
959130447153266688	moron	馬鹿が移るまえにそのような宗教に関わらんほうがいい。You should stay away from cults like that before you turn into a moron. #一分英語 #JapanesePhrases
959049796777426944	moron	負けてばっかな〜今は〜いつか 勝ちに繋がる未来 毎日が始まりで ここから走り出せるから！ 3poLstar☆☆☆/Moron
958997523741360128	moron	やたらと発砲したがるバカは、もう要らないのよ The last thing I need is another trigger-happy moron. 「アバター」より
958928544574287873	moron	壁を貫ぬいて ここから目指すあの先これからだぜ あきらめたら終わりさ 道はひらくのさ すこしの努力でもいいさ 未来に繋がるから 決して振り向くな 過去の自分にうち勝ってみろよ 3poLstar☆☆☆/Moron
961217509385846784	麻薬	冷凍庫に入っている合法麻薬ジンストを飲むか。
961217481326043138	麻薬	@hrg_st 5連勤中に辛くなったらサバゲーの事考えると楽しくなってきてたから実質サバゲーは麻薬
961217361645748224	麻薬	お菓子は食べると即幸せになるからすごい。麻薬みたい
961217327390801920	麻薬	麻薬カルテルのボスに気に入られるためにラップ作ってた人とかいたもんなぁ…そういう抗争に巻き込まれるのかな…
961217212152336390	麻薬	僕の名前は「麻薬」じゃなくて「痲薬」なんだよ！ 元々、危険薬物を意味する言葉として、痲れる薬と書いて痲薬と呼んでいたのだけど、簡略化されて今の麻の字があてられたのよね。 植物の麻と混同されて、大麻がから来たって思われがちだけど、元々は関係なかったと言われてるよ！
961217111438778369	麻薬	地下経済の内訳は、73.3％が脱税。10.7％が暴力団がらみ。8.5％がSEX産業がらみ。 3％がヤミ金融の利益。1.5％がパチンコやゴト関係。3％がその他（麻薬・密売・窃盗など）だそうです。 実に3/4が脱税によるものなんですね。日本の脱税は世界的にもトップクラスだそうです。
961216796593238017	麻薬	栄川乃亜でDMM検索したらいきなりヤク漬け麻薬捜査官とか出てきたぞ……。エアツイートなに見とるんやこいつ……
961216565411684353	麻薬	追証食らうようなディールをやっている人たちって、“あの素晴らしい爆上げ”を忘れられず、脳内麻薬でやられているのでしょうか？
961216476635000832	麻薬	文学部はメンヘラ、というのは白灰さんや新型麻薬を見れば分かるように全く根拠のないウソである
961216464765124611	麻薬	しかも現実逃避でポケ森しちゃって、TL全然追えてない…JUMPも有岡くんも摂取してない(chauとキミアトのPVは見た、めっちゃ癒された、あれは脳内麻薬だと思う)
961216461564866562	麻薬	麻薬中毒者に愛する人を殺されたウイスキーおじさんの考えは凄く同意出来るしラスト気絶させるとかそういうのでも良かったんじゃないかななんて思った
961216364416389120	麻薬	@osamup2 麻薬入れたバッグの隠語です
961216220111372288	麻薬	Twitterを開いてしまうのはカービィちゃんがアイコンになってるせい。 開くたびにかわゆい姿が目に飛び込んでくるから心安らぐもはや麻薬
961216082382999553	麻薬	名大附属 飲酒運転 湯浅郁也 麻薬 名大附属 シンナー 湯浅郁也 留置場 湯浅郁也 詐欺
961216035515875329	麻薬	@shi0ume @parieruu やべえ　それ麻薬練成じゃないか
961216000870957056	麻薬	体に無害な麻薬を薬局で気軽に買えるようにして欲しい
961215884210548736	麻薬	この映画って多分英国の目線から米国の麻薬汚染と政府ディスったんだと思うけど、麻薬使用者は全員滅ぼすべし！Vs善良な奴も中には居るから全員処すのはダメ！って考えの対立構造？
961215830238244864	麻薬	(鶴希)依存性がある ・多幸感をもたらす ・使用すると幻覚を見ることがある ・長時間使用しないと禁断症状がでる ・使用後はスッキリする 上記の特徴から、お布団は麻薬の一種であると言えるんだわ
961215656816386048	麻薬	@crow_109 麻薬使ってると特徴的な脳波が出るとのことで
961215537773604864	麻薬	審査員を帰すことはハイリスクハイリターン。キマったら駆け巡る脳内麻薬なもんでおもしろいわけよ。
961215535227666438	麻薬	森山について本気出して考えてみたよー 残念なイケメンなんだなーって、改めて 君も森山について考えてみてよー 残念さが麻薬効果 なかなかー抜け出せない と言うお歌定期w さーせん
961215468211073024	麻薬	アイマスは宗教。アイマスは麻薬。ってそれ一番言われてるから
961215393325973504	麻薬	@SORAIRO_tsts たすくん無しでは生きていけない…(麻薬的存在)
961215233292320768	麻薬	というかこころちゃんの歌声麻薬すぎんだろこれー！！
961215011942162432	麻薬	@YouTube3156 ゲージ的なメリットデメリットを何かしらの方法で頭から消して、ただただ目の前のスッキリする行為を行うことに心理的快感を覚えるからするんですよ。麻薬と同じです多分(元切断厨)
961214992665079808	麻薬	長く走っていると、脳からエンドルフィンというホルモンが分泌されます。このエンドルフィンは、麻薬のような働きをすることが知られており、疲労感などに対しては、それを麻痺させる作用を持っています。
961214737798201344	麻薬	@ss_shocola アンデスはやめとけ！ハイパーインフレで麻薬カルテルしかいねーぞ
961214383090122752	麻薬	アイマスの食わず嫌い、基本的に食うと麻薬のように中毒になるからみんな齧ってみるべき
961214108178694145	麻薬	小学生の頃は鬼太郎が毒漬にされたり、ブラックジャックが麻薬漬にされてるシーンは好きだったけど今では見るの辛い。成長したのかどうかは知らない
961214107226554368	麻薬	恋をすると脳はドーパミンを分泌しやすくなる。ドーパミンは、脳内麻薬とも呼ばれるホルモンで、これを分泌すると、やる気もアップし好奇心溢れる活き活きした脳になる。前向きで感受性豊かな日常を過ごせば、当然代謝はよくなり、むくんでだぶついた顎まわりもすっきり。
961214090151567361	麻薬	@dotera4416 チュリスバスターは麻薬レベルなんできをつけましょう
961214015685804032	麻薬	@books3030967 まぁ話は変わるがミリオンの曲って最近聴くとテンション上がって聞き終わったあとにまた回数が増える 麻薬みたいに思えてきた
961213901516849153	麻薬	お絵かきは……思うようにかけなくてクソがの連続だけど…….脳内にあるものアウトプットできたときのアドレナリンはすごいから……お絵かきは麻薬だから……このネタを鼻から吸うんだ
961213453200273408	麻薬	コデインてメチルモルヒネなのか。へーだから直で麻薬みたいなって言ったのか。なるほど。って浅慮かーい
961213312405880832	麻薬	昔どこかで黒酢にハマると何にでもかけだすって聞いたことがあって健康オタクはキモいな〜って思ってたのに、今自分がそうなっててこれ麻薬でも入ってるんじゃないかなって不安になってきた...超絶うまい！ってわけじゃないんだけどなんかかけちゃう...
961213210899738624	麻薬	@aoyamaitsuki1 青山樹☆麻薬取締部☆ちゃん、寒いの？ おいで！秀さん特製のビーフシチュー、食べたら心も体もぽっかぽかだよ〜
961213128628252673	麻薬	@paru_paruuu 麻薬やらなんやらして逮捕されたヤベー人 過去に善人投票みたいなのあってコイル事件みたいに工作されて1位にされたみたいだ()
961212385288572928	麻薬	@kaedenyannyan2 可愛がられるのは脳内麻薬出るからなあ…
961212352480739329	麻薬	@spcd65b9 この麻薬中毒の補助金漬けで無駄婚、無駄産み、無駄離婚・・・の負のループが止まらんと在京の島人の友人。 彼はネトウヨなのか？　リアル島人なのだが。
961212269089538048	麻薬	うぅ…斬裂ライトとかもはや麻薬だわ…その凄さを知ってしまった手前…わざわざライト以外の武器で苦労して歴戦個体や素材集めに行くのがばからしく思えてしまって…自分の中の拘りがかなり揺さぶられてる…。違う…違うんだよ…圧倒的な力も時には必要さ、でも私はどちらかと言うとテクニックで文字数
961212142606172160	麻薬	@miyamisho 天一は麻薬だから気をつけるんだぞ
961212097643274240	麻薬	自創作のこと考えてる時の脳内麻薬　半端じゃないですね…
961211973936365568	麻薬	もっとも、こういったものは全てが全て麻薬の副産物でしかなかったというのも事実である。
961211893003137024	麻薬	@genki_0628 @Karin_yellow_ 確実に麻薬使ってる顔 (私なりに解釈した結果。)
961211645056843776	麻薬	鎮痛剤でした💊 思ってたより麻薬の割合が高いぞ(๑°ㅁ°๑)‼ご投票ありがとうございました☺💕
961211419692646407	麻薬	解答ありがとうございます😳個人的に解釈の感じから毒タイプかなーって思ってました！麻薬ってなんだろう…依存性があるのかな！？だと嬉しいな！？なんで選んだのか聞きたい…(かまってちゃん)
961211171326971904	麻薬	@rinkun0080 そうです！それです！ファミカセ買ってタバコ臭いと凹みますよ笑 あと、ニコチンは本当に麻薬です。やめられないですよね、本当に。
961223450277720064	レイプ	才能あればレイプ魔でもそれを見逃しても許される世界にしてはならない
961223411744743424	レイプ	「二日市保養所」の産婦人科部長だった橋爪医師の証言が、「水子の譜」に収録されている。同医師が昭和21年6月10日付で救療部に提出した報告書によれば、レイプの加害者は朝鮮人が最も多く次いでソ連人、中国人、アメリカ人だという。
961223393201631232	レイプ	日本のＭＥＴＯＯはハアチュウとかいう人の前になんとかシオリさんという人がレイプ告発したけど安倍ちゃんの友達だったのでもみ消された
961223375547908098	レイプ	出来心で実写デビルマンの動画ちょいと観てみたら想像を絶するレベルのコントで大爆笑してしまいました(・∀・) もうレベルが別次元過ぎて今後原作レイプ作品の引き合いに出せる気がしないわ、冗談抜きで爆笑コントだもの。ちなみにドラゴンボールエボリューションは出せる。
961223242588463104	レイプ	ゆいてぃん こーへい 元彼 高桑昂平 リベンジポルノ 逆恨み 駿河台大 駅伝部 集団レイプ ゆいてぃん 援交 喫煙 未成年飲酒 MDMA 薬物中毒 オナニー狂 性病持ち ステマ 精神病 ゆいてぃん 父慎一 アル中 前科者 性的虐待 家庭内暴力 借金 家賃滞納 家庭崩壊 創価 8
961223149432877056	レイプ	次に出会い厨するマルハンと年越レイプの人に顔面レベルをあげさせないで マジのマジで顔面凶器だから覚えておいた方がいいよ
961223026376286209	レイプ	まぁ、私子供作れないんですけどね（真顔レイプ目
961222611286962176	レイプ	ヒガナくん想像力足りないから自分の服装で欲情する奴がいるの気付かなくてレイプされそう
961222524666183680	レイプ	@arcadia_1342 我慢できないふたなり押安に押し倒されて駄肉まみれのお尻と太ももを思いっきりはたかれながら両穴同時レイプされて淫乱雌豚アクメ決めても流石に仕方ない…うぅ…♡
961222440411021312	レイプ	『ペッパーランチ』で、店内に女性客を監禁してレイプした創価学会員、前々から「池田大作は人生の師匠」と豪語してたんだよな！　創価学会の婦人部から「レイプで告訴」されて…裁判には１度も出廷せず、聖教新聞でボロクソにナジリ続けた、師匠の池田大作 #エレ片 #今立進の青龍刀 #青龍刀
961222371309793280	レイプ	@psycho_puttyo 指揮官様は私だけでは物足りないと…？（レイプ目）
961222359205097472	レイプ	歩く生殖器ってことは道端の人レイプしてんのかな
961222356361359360	レイプ	セックスに飢えたはたてちゃんがバイブでフェラの練習してるところを激写して、レイプされることを期待しているはたてちゃんの見ている前で激写したフェラ写真でオナニーしたい
961222333234003968	レイプ	ピさんのいいところ、耳掃除が上手い！機嫌がいいとレイプをしない！以上！
961221744081055744	レイプ	「Disabled Complexes和訳」 私はわずかな希望さえ捨てた 深いところでは そして、私は再び今晩狂う - そして再び今晩私が狂う ああ、私は再び今夜は眠ることができない あなたが存在しているので 私はあなたにレイプされたので なぜあなたは彼らの声を信じますか？
961221567739932672	レイプ	@imohomo これまで中出し逃げした全男子には、中出しレイプの形を受けるべきですね😣 逮捕されたらレイプ部屋に連れて行かれて強制的に中出し決行です！😤
961221318497599489	レイプ	盛りついたカッスは道中CMCをレイプしながらキャンタマーロット城にリリーフカーで潜入。すかさず王室に潜む無能プリンセスセレスティアをフルスイングで殺害。その後亡骸を解体し、「この膣の部分が極上なんでちゅ」と言い放ち絶頂射精。
961221274503593984	レイプ	一回検察から出頭要請かけたんだよね。当然具合悪いって先延ばしだけど、その間にこっちはやる事やっといたから後はレイプしてやるだけなんだよな。
961221181314510848	レイプ	救えるキャラと救えないキャラが世の中にはいますし、救えないキャラを無理やり救うのは実質レイプでは？
961220784470466561	レイプ	@BurnyudukiHoigh あー、たぶんぺこちゃんがパッと見強い。九頭竜のためにがんばるからパッと見強い。なお中身(白目(すごい速さでレイプ目になる
961220759321378816	レイプ	FOXテレビの性犯罪刑事の話を見てたけど、白人とメキシコ移民にレイプされたイスラム系の移民店主と、娘さんの話で、アメリカの抱える問題がてんこ盛りでしたわ。白人容疑者が、メキシコ移民に対してヘイト発言をするんだが、大統領と同じ気持ちさ。って言ってるし、最後はモスクが爆破されるし。。
961220644418437121	レイプ	ゆるキャンのエロってレイプものが多いってかそれしか見かけてない気がする
961220613846155266	レイプ	可哀想な目に遭って精神がぶち壊されレイプ目になる推しが見たい派だから精神的リョナ好きなんだと思う
961220553678835713	レイプ	@antibaseball ハゲ双六は臭い 汗臭いのとニコチン臭い。 触れたくないですな。 あとこのウンコが通ってた作○学院は以前 ハゲ双六部員がレイプ犯したこともあります。
961220401190719488	レイプ	日本のデッドプールはレイプマンで合ってると思います
961220305925500928	レイプ	(≧∀≦) オトナによるオトナの為の　オトナだけの場所。 □ #レイプ #SM #痴漢 #中出し
961220277555273729	レイプ	オカＱの独り言：受刑者の更正にVRを使ってはどうだろう。つまり例えば飲酒運転の加害者なら被害者の辛さの映像を毎日一時間見せる。或いは自分がレイプされてる映像とか。
961219722669801472	レイプ	@_Ha_n_A_ レイプはキツい･･･
961219414749163520	レイプ	あんた言ったよな、日本ではRAPE(レイプ)は犯罪だって。なら………RAPE以上のRAPESTならどうだぁぁぁぁ！！！！
961219383405105153	レイプ	あんた言ったよな、日本ではRAPE(レイプ)は犯罪だって。なら………RAPE以上のRAPESTならどうだぁぁぁぁ！！！！
961219294318116865	レイプ	@otona_sv 今の時代そこら辺のJKレイプかデリヘルか風俗やろ(マジレス)高校生は階段でいつもパンツ見えるから神
961219006412742656	レイプ	生まれ持つレイプセンス　今ここで見せろ 脅迫では負けはしない　立浪はヤクザ
961109290231717893	犯し	池波正太郎の小説で、盗みはやるけど女を犯したり人を殺したりしないというので有名だった親分が、年を食ってから変節して両方やるようになって、かつて彼を慕っていた男が「年食ってから悪人になるのが一番最低だ」って泣く話があったというのをことあるごとに思い出す。
961108644837412864	犯し	@charisma_r18 ショタ飛鳥を犯しつつも後ろから犯されればいいんでね？
961108095442276352	犯し	皆様方の中に銃刀法違反を犯したり違法薬物を取り扱う輩はおりませんかー？
961106179605790721	犯し	推してる　全然おいしくない柚子の犯しとか要ります？
961105536627421185	犯し	私達女奴隷側としては、トンデモ技術を盛り込まれた夢のダッチワイフかもしれませんが、私達を実際に犯し陵辱しもてあそぶ側は至って普通の人間です。当然ですよね。そして女奴隷の生体技術は全てが「所有者が満足できる玩具へ」という精神が込められているのです
961105392121020419	犯し	そんな手があったのかと、裏をかかれた相手が驚き、ミスを犯し、勝負のあやが生じるのです。ゲームとは『驚きの相互発見』ということもできるでしょう
961105331412787201	犯し	『拡散』セフレ募集ー♪ 出会い系 どＳ痴女♀ 童貞喪失、脱童貞、童貞を奪われたい子に出会いたい♪ 変態さんいない？♪ プロフ見てね。 騎乗位で犯しながら射精管理したい☆
961104621199609857	犯し	「ただの人間に興味はありません。 　この中にオーク、スライム、触手、ゴロツキがいたら 　私を犯しに来なさい。以上！」
961103990946660353	犯し	【設定メモ】三笠黒花は重犯罪を犯し地獄に落とされた少女。生前の名は魅島薫(ミシマ・カオル)、しかし生前の記憶は人格、思考の基礎・根本以外は本人に一切無い
961103985632514048	犯し	@M_joso_r_18 じゃあいこっかぁ…💕お腹いっぱいになるまでケツハメしてあげるからね……💕じゅるむぅ…ぢゅぱぁ…💕(一度口付けして舌である程度口の中犯し、部屋の鍵を貴方に持たせて雄の臭いを残したまま部屋に戻って…💕
961102738313678848	犯し	@aoneko 連載や放送途中の作品では2次元でも恋人ができたり結婚、出産ってことがあるかもしれない。 だからわたしは大体終わった作品のキャラにしかハマれないんですが、3次元だと下手すると犯罪犯したりまであるので…ぜんっぜん信用してない…
961099146873704448	犯し	@VIP_kasutera @R18_tweet 次は犯しそうだね！！
961098868913000448	犯し	@Asto_R_18 んんっ💕熱くて、硬くて…火傷しそうだ…💕(ずぷぅっ💕即ハメてくる肉棒をぎゅーっ💕左右から両手できつく締め付けさせ乳圧強くさせて刺激する💕このまま雌穴を犯しように乳房を使ってもいいぞ？💕むしろ乳房を犯してくれ💕期待と誘惑な目でじーっ💕
961097768197648385	犯し	『拡散』セフレから飲み仲間まで募集してます♪ リア友募集 どＳ痴女♀ 童貞喪失、脱童貞、童貞を奪われたい子に出会いたい♪ 変態さんいない？♪ プロフ見てね。 騎乗位で犯しながら射精管理したい☆
961092884719132672	犯し	「人生で犯しがちな最大の誤りは、誤りを犯さないかと絶えず恐れることだ」　エルバート・ハバード（作家）
961092750979600384	犯し	【誕生月診断】 1月：足が異様に速い 2月：性犯罪を犯しやすい 3月：体毛が物凄い濃い 4月：性犯罪を犯しやすい 5月：暴力沙汰を起こす 6月：ロリコン 7月：ゴリラの真似に絶対的な自信を持っている 8月：プライドが高い 9月：寡黙 10月：清楚 11月：歌が上手い 12月：文豪
961092009976127488	犯し	◇サイコパス診断◇ あなたは殺人を犯し逃走中で、森へ逃げ込みました。 そこであばら家を発見、その中に入って寝ることにしました。 A.悪い夢をみました。どんな夢？ B.何かが家に向かって近づいてくる。それは？
961091892346851329	犯し	犯しやすい間違いは嫌いな人の存在を認めないこと 秋元康
961090700610850822	犯し	ちょっと！起きてよ！愛してよ！犯しなよ！永遠の愛を保証するから！（がくがく）起きてよう（大泣き
961090279557271553	犯し	うわ～～ん杉尾は基本バックでたまに正常位にすると尾形のお尻がめちゃくちゃキツキツになるしキロ白は基本正常位、対面座位でたまにバックされると無理に犯されて優しさを取った犯し方で異常に興奮するけど最後は正常位でフィニッシュ～！
961090209726132224	犯し	『RTしてね』セフレってどうやって作れば？ 相互フォロー どＳ痴女♀ 童貞喪失、脱童貞、童貞を奪われたい子に出会いたい♪ 変態さんいない？♪ プロフ見てね。 騎乗位で犯しながら射精管理したい☆
961089475534376964	犯し	僕は自分を……金属バットで人を殴り殺し、むりやり女を犯し、自分の人生を振り返って悲しんだり懐かしんだりする余裕もなく中途半端な人間のまま終わってしまう自分を呪い、カミサマとこの世界とを呪った。てのひらが、ものすごく痛みはじめた。　(世界最後の日々 世界最後の日)
961089448292376577	犯し	めぞ、お互いの為に殺人を犯しそうだからも〜
961088959785861120	犯し	@ji999az あ、同僚(※笑い上戸)を笑いじにさせそうという意味で、さつじんを犯しそうなの。笑わせてしまうのは自分で止められないの。。
961088722442899458	犯し	昔のふぁぼ整理してたら「桂さんのこと、あさぎしさんが激昂して犯しそうだな、と思った」って書いてあってさすが一緒に本作っただけあって私の事理解してるぜと思った
961087051935477761	犯し	@kiki_ogawa 犯そ。 今から犯しに行くけ待っといて♥
961086123434041350	犯し	最近、旦那を見かけないと思ったら、殺人の罪で刑務所に入っていてビックリ。 旦那は、ナンバー3937白いエスティマを愛用。4人の子供がいて太めの奥さんが居るが、 嫌気が差して罪を犯し、臭い飯を喰らうことになった。自業自得。
961085258136539136	犯し	有名人 #幼稚園の時の将来の夢晒せよ 仲の良かった子同士で「みんなで卒業文集にはお菓子屋さんってかこうね」って約束してたのをすっかり忘れてて、先生に質問されてテンパって答えたのがこれでした。今は「犯し屋さん」になりたいです
961083719292354560	犯し	人生は運命にほかならない。青年は過ちを犯し、壮年は争い、老年は悔悟する。
961082658997510144	犯し	『セフレ募集』セフレになってもいい人、Dください♪ エロい話大好きｗ どＳ痴女♀ 童貞喪失、脱童貞、童貞を奪われたい子に出会いたい♪ 変態さんいない？♪ プロフ見てね。 騎乗位で犯しながら射精管理したい☆
961081854815223808	犯し	エロいこと考えてる人には幽霊は寄ってこないらしいです。もう一度言います。 エ ロ い こ と考 え て る 人 は 幽 霊 の 方 か ら 避 け て い き ま す。 なのでツイッターやってる人は大抵大丈夫です。いつも通り脳内で嫁を犯しながら寝ましょう
961081595003265024	犯し	【必ず結果を出す人の伝える技術】「『私は○○すべきだと思います』は無責任」など、日常的に犯しがちな間違いをわかりやすく指摘してくれる一冊です。論理的な伝え方をもっと磨きたい人に。
961081450438082561	犯し	遠隔から他人の脳を操作する犯罪が日本中で起こされています。本当に操作できるので、同じ交番で警官が次々と拳銃自殺したり、拘置所で看守の目を盗んで自殺したり、車で人混みに突入したり、障害者施設で殺人を犯したり、電子洗脳犯罪では全て実現可能。凶悪なテロ行為、代理殺人は最高死刑。
961080579109265409	犯し	此れは貴女にお送りします 愛の料理教室 今日のメニューは甘い犯しな プルル プルル 揺れるプリンです 【プッシンプリン】
961080072038899712	犯し	マスコミって怖いわねぇ。 売国やるだけじゃなくて殺人を犯したり他人のプライバシーとかも侵害して我が物顔で他人を非難するんでしょう？ 怖いわねぇ。
961080003394879488	犯し	△エウリュアレを犯したい △ステンノを犯したい ○メデューサの目の前で姉妹を犯しながらメデューサも犯したい ◎メデューサ[ランサー]を犯したい
961078184480456709	犯し	某人物がキモい＆怖い。そのうちストーカーになって犯罪犯しそう…。
961078065425039360	犯し	お互いの肉体を舐め舐められられ、犯し犯され最絶頂オルガズム。
961077821949952000	犯し	『密室殺人ゲーム王手飛車取り』 Web上で知り合った者たちが代わる代わる殺人を犯し、そのトリックや次の標的を当て合うという物語。短編仕様だが満足感もある。最後まで読んだお前、安心しろ続編もあるぞ
961077752928526336	犯し	@jinro177 馬のお兄さんも屁責めで獲物を犯したりするのでしょうか、濃すぎる匂いで獲物のイカせて嗅覚ダメにしそう
961077552092651521	犯し	[入隊定期]永喜を応援し隊No.16佐々木の女子力見習い隊No.1 副隊長佐々木の変顔晒す隊No.3オムライス王子大好き隊No.5佐々木を犯し隊No.6浬夢FC No.2マサ島ヒデ島住み隊 No. 1 ヒデ島の管理人
961077495280709633	犯し	２月は危険だ　お菓子作り過ぎて自分が犯し作りの天才みたいな過信が産まれるから危険だ（昨日既に失敗しまくったひと）
961075763108659201	犯し	人生最大のミスを犯し、会社から消えて無くなりたい
961075118578458624	犯し	『セフレ募集』セフレになってもいい人、Dください♪ どＳ痴女♀ 童貞喪失、脱童貞、童貞を奪われたい子に出会いたい♪ 変態さんいない？♪ プロフ見てね。 騎乗位で犯しながら射精管理したい☆
961073561631801344	犯し	@takasaka393 「どうかな女神よ、男に手に入れられた喜びは？」と犯しながら聞いて「ああッ♡いい、すきっ♡奥が、あッ♡すきっっ♡」と肉体は完全に屈服してるエウリュアレの嬌声を聞かせたいですし「さすがミノタウロス！お前の守る宝はこの世で勝るものなしだッ！」と煽りたいです
961072800596291586	犯し	おはようじょを犯しt((殴 日に日におはようがおかしくなっていくスタイル
961072519649177600	犯し	ついオタク 犯し犯され メス男子(575)
961070159275343873	犯し	あなたは殺人を犯し逃走中で、森へ逃げ込みました。 そこであばら家を発見、その中に入って寝ることにしました。 A.悪い夢をみました。どんな夢？ B.何かが家に向かって近づいてくる。それは？
961069978530209792	犯し	@takecHondashi 学校の仲間が内定もらったとこなんだけど、ハローワークで紹介状もらってアポ取ったらなんやかんやで飲み会兼面接って運びとなりました…。失態犯しそうで怖い…。
961067971601842177	犯し	とにかくエウリュアレは設定的にステンノとあわせていわば男達のトロフィーのようなもの。そしてアステリオスは反英霊ですらない怪物、それが守る財宝を手に入れて好きに使う、つまりエウリュアレをぼろぼろになったアステリオスの前で犯し陵辱することは英雄譚なのだよ（ろくろ回し
